#separator:tab
#html:true
#tags column:5
相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
気軽	気[き] 軽[がる]	casual, light-hearted		0118
～機関	～ 機[き] 関[かん]	～ institution		0031
期間中	期[き] 間[かん] 中[ちゅう]	during the period		0082 0083
～危機	～ 危[き] 機[き]	～ crisis		0063
危機感	危[き] 機[き] 感[かん]	sense of impending crisis		0173
効く	効[き]く	to be effective		0022
機嫌	機[き] 嫌[げん]	mood		0006
危険性	危[き] 険[けん] 性[せい]	dangerousness		0075 0173
気候	気[き] 候[こう]	climate		0070
気候変動	気[き] 候[こう] 変[へん] 動[どう]	climate change		0070
既婚者	既[き] 婚[こん] 者[しゃ]	married person		0054 0055
刻む	刻[きざ]む	to chop		0088
岸	岸[きし]	coast	反.  沖[おき]<br>out to sea	0034
記事	記[き] 事[じ]	article		0046
記者	記[き] 者[しゃ]	journalist, reporter		0046
技術的	技[ぎ] 術[じゅつ] 的[てき]	technical		0075
築く	築[きず]く	to build		0054
着せる	着[き]せる	to dress		0018
貴族	貴[き] 族[ぞく]	aristocracy		0066
規則正しい	規[き] 則[そく] 正[ただ]しい	regular		0007
貴重	貴[き] 重[ちょう]	valuable		0014
気遣い	気[き] 遣[づか]い	concern		0003
きっかけ	きっかけ	opportunity		0112
ぎっしり	ぎっしり	tightly		0079 0142
きっぱり	きっぱり	flatly, decisively		0143
起動	起[き] 動[どう]	start-up, activation		0050
気に入る	気[き]に 入[い]る	to like		0155
気に掛かる	気[き]に 掛[か]かる	to be concerned about		0154
気に食わない	気[き]に 食[く]わない	to dislike		0154
気にする	気[き]にする	to be concerned about		0154
～機能	～ 機[き] 能[のう]	～ function		0051
気の毒	気[き]の 毒[どく]	feeling sorry for		0010
きびきび	きびきび	briskly, energetically		0143
寄付金	寄[き] 付[ふ] 金[きん]	donation		0172
規模	規[き] 模[ぼ]	scale		0078
希望	希[き] 望[ぼう]	hope, wish		0042
気まぐれ	気[き]まぐれ	whimsy		0118
気まずい	気[き]まずい	awkward		0118
期末試験	期[き] 末[まつ] 試[し] 験[けん]	end-of-term exam		0038
決まって	決[き]まって	always, without fail		0035 0137
～気味	～ 気[ぎ] 味[み]	a touch of ～, a little ～		0079
逆～	逆[ぎゃく]～	reverse [opposite, inverse] ～		0166
客席	客[きゃく] 席[せき]	audience [guest] seats		0026
球	球[きゅう]	sphere		0078
旧～	旧[きゅう]～	old ～		0167
急～	急[きゅう]～	rapid [sudden, sharp] ～		0167
休暇	休[きゅう] 暇[か]	holiday		0042 0119
急カーブ	急[きゅう]カーブ	sharp curve		0167
休業	休[きゅう] 業[ぎょう]	closure, shutdown		0119
休憩	休[きゅう] 憩[けい]	break		0119
休講	休[きゅう] 講[こう]	lecture cancellation		0038
救済	救[きゅう] 済[さい]	help, relief		0058
旧市街	旧[きゅう] 市[し] 街[がい]	old town		0167
急上昇	急[きゅう] 上[じょう] 昇[しょう]	sudden rise		0167
旧姓	旧[きゅう] 姓[せい]	maiden name		0167
急接近	急[きゅう] 接[せっ] 近[きん]	rapid approach		0167
休息	休[きゅう] 息[そく]	rest		0119
旧体制	旧[きゅう] 体[たい] 制[せい]	old system		0167
急展開	急[きゅう] 展[てん] 開[かい]	rapid development		0167
急テンポ	急[きゅう]テンポ	quick tempo		0167
